Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-23 4:28:01,"8.8","United States of America","Restrepo","One platoon, one valley, one year",N/A,"2010",1:34:42,"N/A","Sebastian Junger and Tim Hetherington s year dug in with the Second Platoon in one of Afghanistan s most strategically crucial valleys reveals extraordinary insight into the surreal combination of back breaking labor, deadly firefights, and camaraderie as the soldiers painfully push back the Taliban.","Sebastian Junger-Tim Hetherington","Outpost Productions","N/A","2010-08-06","Juan  Doc  Restrepo-Dan Kearney-LaMonta Caldwell-Aron Hijar",N/A,"9.6","N/A","Documentary-War-Biography-History","R"
2021-00-23 4:28:01,"8.3","United States of America","Score: A Film Music Documentary","Behind every great film is a great composer.","Matt Schrader","2016",1:33:50,"N/A","A look at the cinematic art of the film musical score, and the artists who create them.","Matt Schrader","Epicleff Media","N/A","2016-10-07","Hans Zimmer-Danny Elfman-Quincy Jones-Randy Newman-James Cameron-Mark Mothersbaugh-Bear McCreary-Howard Shore-Alexandre Desplat-Trent Reznor-Atticus Ross-Rachel Portman-Marco Beltrami-Tyler Bates-Brian Tyler-David Arnold-Christophe Beck-Paul Broucek-Mychael Danna-John Debney-Jon Burlingame-Patrick Doyle-Elliot Goldenthal-Harry Gregson-Williams-Steve Jablonsky-Henry Jackman-Junkie XL-Joe Kraemer-Mitchell Leib-Christopher Lennertz-Dario Marianelli-Garry Marshall-Thomas Newman-David Newman-Heitor Pereira-Conrad Pope-John Powell-Trevor Rabin-J. Ralph-Buck Sanders-Joseph Trapanese-Christopher Young-Mervyn Warren-Steven Spielberg-John Williams",N/A,"9.1","N/A","Documentary-Music","PG"
2021-00-23 4:28:00,"6.2","United States of America","Seduced and Abandoned","BEYOND THE GLAMOUR OF CANNES LIES THE NAKED TRUTH OF MOVIEMAKING.","James Toback","2013",1:39:35,"N/A","An exploration of several interconnected subjects: The Cannes Film Festival, cinema art, money, glamor and death.","James Toback","Michael Mailer Films","N/A","2013-05-13","Alec Baldwin-Bérénice Bejo-Bernardo Bertolucci-James Caan-Jessica Chastain-Francis Ford Coppola-Ryan Gosling-Diane Kruger-Roman Polanski-Martin Scorsese",N/A,"8.4","N/A","Documentary","Not Rated"
2021-00-23 4:28:00,"8.4","United Kingdom","Shut Up and Play the Hits","The Very Loud Ending Of LCD Soundsystem.",N/A,"2012",1:49:45,"N/A","On April 2nd 2011, LCD Soundsystem played its final show at Madison Square Garden. Documenting this once in a life time performance and an intimate portrait of James Murphy as he navigates the lead-up to the show, the day after, and the personal and professional ramifications of his decision.","Will Lovelace-Dylan Southern","Killer Films","N/A","2012-07-18","James Murphy-Chuck Klosterman-Tyler Pope-Keith Wood-Pat Mahoney-Nancy Whang-Al Doyle-Gavilán Rayna Russom-Matt Thornley-Gunnar Bjerk-Win Butler-Régine Chassagne-Reggie Watts-Will Butler-Jeremy Gara-Donald Glover-Aziz Ansari-Stephen Colbert",N/A,"8.6","N/A","Documentary-Music","NR"
2021-00-23 4:28:00,"7.3","United States of America","Silicon Cowboys","They risked their future to create ours...","Jason Cohen-Steven Leckart","2016",1:17:02,"N/A","Three friends dream up the Compaq portable computer at a Texas diner in 1981, and soon find themselves battling mighty IBM for PC supremacy. Their improbable journey altered the future of computing and shaped the world we now know.","Jason Cohen","Fancy Film Post Services","N/A","2016-09-16","Rod Canion-Bill Murto-Jim Harris-Bill Fargo-Hugh Barnes-Gary Stimac-Steve Flannigan-Mike Swavely-Karen Walker-Ben Rosen-Ross Cooley-Steve Ullrich-Charles Lee",N/A,"10","N/A","Documentary-History","NR"
2021-00-23 4:28:00,"7.3","United States of America","Space Junk 3D","What Goes Up Doesn t Always Come Down","Michael Benson-Melissa R. Butts-Shane Colton","2012",0:37:26,"N/A","Space Junk is a visually explosive journey of discovery that weighs the solutions aimed at restoring our planet s orbits.","Melissa R. Butts","Red Barn Productions","N/A","2012-01-13","Tom Wilkinson-Em Clark-Zach Clark-Kelby Cross-Howard Henley-John Sullivan",N/A,"N/A","N/A","Documentary-Short","NR"
2021-00-23 4:27:59,"8","United Kingdom","Spitfire","Inspiration of a nation",N/A,"2018",1:35:23,"N/A","The story of the fighter plane and pilots that helped win the Battle of Britain in World War II.","David Fairhead-Ant Palmer","British Film Company","N/A","2018-07-15","Charles Dance-Mary Ellis-Geoffrey Wellum",N/A,"9.4","N/A","War-History-Documentary","TV-PG"
2021-00-23 4:27:57,"5.2","United States of America-Austria-Germany-Netherlands","Theory of Obscurity: A Film About the Residents","N/A","Don Hardy Jr.","2015",1:28:31,"N/A","Theory of Obscurity tells the story of the renegade sound and video collective known as The Residents. A story that spans 40 years and is clouded in mystery. Many details surrounding the group are secret, including the identities of its members. Our film takes viewers inside this incredibly private group with unprecedented access to their archives and their recent 40th anniversary tour. The Residents have released more than 60 albums, performed all over the world and inspired many people to be weird, take chances and find their own voice. Now, our film will introduce The Residents to a whole new generation.","Don Hardy Jr.","DoF Media","N/A","2015-03-14","Matt Groening-Les Claypool-Penn Jillette-Jerry Harrison-Gary Panter-Robert Crow-Homer Flynn-Hardy Fox-Jay Clem-John Kennedy-The Residents",N/A,"7.5","N/A","Documentary-Music","N/A"
2021-00-23 4:27:57,"8.5","United States of America","These Amazing Shadows","The Movies that Make America","Paul Mariano-Douglas Blush-Kurt Norton","2011",1:28:18,"N/A","Tells the history and importance of The National Film Registry, a roll call of American cinema treasures that reflects the diversity of film, and indeed the American experience itself.","Paul Mariano-Kurt Norton","Gravitas Docufilms","N/A","2011-01-20","Jeff Adachi-James H. Billington-Robin Blaetz-Brooks Boliek-Charles Burnett-Jay Carr-Martin Cohen-Arlene Damron-Julie Dash-Peter Coyote-Christopher Nolan-Zooey Deschanel-George Willeman-John Ptak-Wayne Wang-Eric J. Schwartz-Stephen Leggett-Mick LaSalle-John Waters-Caleb Deschanel-Liz Stanley-Jennifer Horne-Robert A. Harris-Gale Anne Hurd-Steve James-John Lasseter-Leonard Maltin-Stephen Peck-James Schamus-John Singleton-George Takei-Kevin Yost-Jan Yarbough-Michael Smith-Anthony Slide-Shelley Stamp-Robert Rosen-Rob Reiner-Del Reisman-Rick Prelinger-Tim Roth-Barbara Kopple-Jennifer Phang",N/A,"7.5","N/A","Documentary","Not Rated"
2021-00-23 4:27:56,"9.1","New Zealand-United Kingdom","They Shall Not Grow Old","A ground-breaking documentary...","Peter Jackson","2018",1:39:19,"N/A","Through ground breaking computer restoration technology, filmmaker Peter Jackson s team creates a moving real-to-life depiction of the WWI, as never seen before in restored, vivid colorizing & retiming of the film frames, in order to honor those who fought and more accurately depict this historical moment in world history.","Peter Jackson","Imperial War Museums","N/A","2018-11-09","Thomas Adlam-William Argent-John Ashby",N/A,"9.9","N/A","Documentary-History-War","R"
2021-00-23 4:27:57,"6.8","Sweden","TPB AFK: The Pirate Bay Away from Keyboard","N/A",N/A,"2013",1:22:07,"N/A","TPB AFK is a documentary about three computer addicts who redefined the world of media distribution with their hobby homepage The Pirate Bay. How did Tiamo, a beer crazy hardware fanatic, Brokep a tree hugging eco activist and Anakata – a paranoid hacker libertarian – get the White House to threaten the Swedish government with trade sanctions? TPB AFK explores what Hollywood’s most hated pirates go through on a personal level.","Simon Klose","Piraya Film A/S","N/A","2013-02-08","Gottfrid Svartholm-Fredrik Neij-Peter Sunde",N/A,"N/A","TPB AFK: The Pirate Bay - Away from Keyboard","Documentary","Not Rated"
2021-00-23 4:27:56,"8.2","United States of America","Trinity and Beyond: The Atomic Bomb Movie","N/A","Scott Narrie-Don Pugsley","1995",1:34:51,"N/A","A documentary presenting mankind s most ambitious effort at perfecting the means to its own annihilation. Featuring newly unclassified atomic test footage.","Peter Kuran","Visual Concept Entertainment (VCE)","N/A","1995-09-29","William Shatner",N/A,"N/A","N/A","Documentary-History","NR"
2021-00-23 4:27:56,"9.5","United Kingdom","TT3D: Closer to the Edge","Just because you re breathing doesn t mean you re alive.",N/A,"2011",1:44:35,"N/A","By vividly recounting the TT s legendary rivalries and the Isle of Man s unique road racing history, this 3D feature documentary will discover why modern TT riders still risk their lives to win the world s most dangerous race. The Isle of Man Tourist Trophy is the greatest motorcycle road race in the world, the ultimate challenge for rider and machine. It has always called for a commitment far beyond any other racing event, and many have made the ultimate sacrifice in their quest for victory. A story about freedom of choice, the strength of human spirit and the will to win. It s also an examination of what motivates those rare few, this elite band of brothers who risk everything to win. The vision of top commercials director Richard de Aragues, this promises to be one of the most thrilling films of 2011.","Richard De Aragues","CinemaNX","N/A","2011-04-22","Jared Leto-Guy Martin-Ian Hutchinson-John McGuinness-Michael Dunlop-Keith Amor-Bruce Anstey-John Barton",N/A,"10","N/A","Documentary-Sport","Not Rated"
2021-00-23 4:27:56,"7","United States of America","Under an Arctic Sky","N/A","Chris Burkard-Ben Weiland","2017",0:40:20,"N/A","Six surfers set sail along the frozen shores of Iceland as the worst storm in twenty-five years is about to arrive.","Chris Burkard","Sweatpants Media","N/A","2017-04-23","Chris Burkard-Sam Hammer",N/A,"N/A","N/A","Adventure-Documentary-Short-Sport","Not Rated"
2021-00-23 4:27:55,"9.1","Israel-France-Germany","Waltz with Bashir","We may forget the past, but the past won t forget us. [Theatrical trailer.]","Ari Folman","2008",1:30:24,"N/A","An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.","Ari Folman","Bridgit Folman Film Gang","N/A","2008-06-12","Ari Folman-Miki Leon-Ori Sivan-Yehezkel Lazarov-Ronny Dayag-Shmuel Frenkel-Zahava Solomon-Ron Ben-Yishai-Dror Harazi",N/A,"9.6","Vals Im Bashir","Drama-Animation-War-Biography-History-Documentary-Mystery","R"
2021-00-23 4:27:55,"7.3","United States of America","WWII from Space","N/A","George Simon","2012",1:32:04,"N/A","This spectacular two-hour special delivers the tipping points of World War II as you ve never seen them before. The key editorial feature of the program is an all-seeing CGI eye; bringing a new visual approach to the biggest conflict of all time.","Simon George","Discovery Channel","N/A","2012-12-07","Corey Johnson-Kevin Farrell-Geoff Wawro-Conrad Crane-Patrick W. Singer-Donald Stratton-Bob Jefferey-Richard Overy-Chris Semancik-Patrick Porter-Raymond V. Mason-John Schaffner-James Jay Carafano-Frank Gervasi-Michael Vernillo-Charles Barley-David M. Kennedy",N/A,"N/A","N/A","History-War-Documentary","G"
2021-00-23 4:27:55,"7.5","United States of America","Zero Days","World War 3.0","Alex Gibney","2016",1:54:51,"N/A","A documentary focused on Stuxnet, a piece of self-replicating computer malware that the U.S. and Israel unleashed to destroy a key part of an Iranian nuclear facility, and which ultimately spread beyond its intended target.","Alex Gibney","Participant","N/A","2016-07-08","Joanne Tucker-Yossi Melman-Ralph Langner-Emad Kiyaei-Richard A. Clarke-Eric Chien-Liam O Murchu-Allison Cohn-Tadashi Mitsui-Camilo Quiroz-Vazquez-Julian Seltzer-George W. Bush-Hillary Clinton-Mikhail Gorbachev-Ronald Reagan-Mahmoud Ahmadinejad",N/A,"9","N/A","Documentary","PG-13"
