Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-23 22:06:20,"7.7","United States of America","The Croods","Meet the first modern family.","John Cleese-Chris Sanders-Kirk DeMicco","2013",1:39:37,"N/A"," The Croods  are an eccentric family of cavemen, who survive the harsh terrain by living accordingly to a strict set of rules. But when their home is destroyed in the wake of an impending disaster known as  The End , they are forced to leave their home of shelter and security, and into the wilderness of the unknown to find a new home.","Chris Sanders-Kirk DeMicco","DreamWorks Animation","Croods","2013-03-22","Nicolas Cage-Ryan Reynolds-Emma Stone-Catherine Keener-Cloris Leachman-Randy Thom-Clark Duke-Chris Sanders",N/A,"7.2","N/A","Adventure-Action-Animation-Comedy-Family-Fantasy","ch/8"
2021-00-23 4:28:18,"8.2","United States of America","Despicable Me","Superbad. Superdad.","Ken Daurio-Cinco Paul-Sergio Pablos-Cal Brunker-Stephan Franck","2010",1:35:42,"N/A","Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.","Pierre Coffin-Chris Renaud","Illumination Entertainment","N/A","2010-07-09","Steve Carell-Jason Segel-Russell Brand-Julie Andrews-Will Arnett-Kristen Wiig-Miranda Cosgrove-Dana Gaier-Elsie Fisher-Pierre Coffin-Chris Renaud-Jemaine Clement-Jack McBrayer-Danny McBride-Mindy Kaling-Rob Huebel-Ken Daurio-Ken Jeong-Charles Bright-Katie Leigh-Ranjani Brow-Scott Menville-Holly Dorff-Edie Mirman-Jackie Gonneau-Al Rodrigo-Wendy Hoffmann-Jakob Roston-James Kyson-John Hans Tester-Tony Lee-Debi Mae West",N/A,"8.1","N/A","Comedy-Animation-Family-Adventure-Crime-Science Fiction","ch/6"
2021-00-23 4:28:18,"8.5","United States of America","Despicable Me 2","Back 2 Work","Ken Daurio-Cinco Paul-Wilbert Plijnaar-Matthew Nealon","2013",1:38:59,"N/A","When Gru, the world s most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru s own, He has to fight back with new gadgetry, cars, and more minion madness.","Pierre Coffin-Chris Renaud","Illumination Entertainment","N/A","2013-06-26","Steve Carell-Kristen Wiig-Benjamin Bratt-Miranda Cosgrove-Russell Brand-Ken Jeong-Steve Coogan-Elsie Fisher-Dana Gaier-Moisés Arias-Nasim Pedrad-Kristen Schaal-Pierre Coffin-Chris Renaud-Nickolai Stoilov-Vanessa Bayer-Ava Acres-Lori Alan-Jack Angel-Eva Bella-Georgia Cook-John Cygan-Debi Derryberry-Jess Harnell-Danny Mann-Mona Marshall-Mickie McGowan-Mason McNulty-Alec Medlock-Laraine Newman-Jan Rabson-Andre Robinson-Katie Silverman-Casey Simpson-Claira Nicole Titman-Jim Ward-April Winchell",N/A,"7.5","N/A","Comedy-Animation-Family-Science Fiction-Crime-Adventure","PG"
2021-00-23 4:28:17,"5.3","United States of America","Despicable Me 3","Oh brother.","Ken Daurio-Cinco Paul","2017",1:30:40,"N/A","After he is fired from the Anti-Villain League for failing to take down the latest bad guy to threaten humanity, Gru (Steve Carell) finds himself in the midst of a major identity crisis. But when a mysterious stranger shows up to inform Gru that he has a long-lost twin brother - a brother who desperately wishes to follow in his twin s despicable footsteps - one former supervillain will rediscover just how good it feels to be bad.","Kyle Balda-Pierre Coffin","Illumination Entertainment","N/A","2017-06-30","Steve Carell-Kristen Wiig-Trey Parker-Miranda Cosgrove-Dana Gaier-Nev Scharrel-Steve Coogan-Julie Andrews-Jenny Slate-Pierre Coffin-Chris Renaud-Andy Nyman-Michael Beattie-Tara Strong-Adrian Ciscato-Brian T. Delaney-Ken Daurio-Lori Alan-Carlos Alazraqui-Kyle Balda-Teresa Ganzel-Bob Bergen-Jess Harnell-Gregg Berger-John Kassir-Mona Marshall-John Cygan-Laraine Newman-Jan Rabson-Bill Farmer-Mindy Sterling-Danny Mann-Jim Ward-Matthew Wood-Katia Saponenko-Jude Alpers-Cory Walls-Sophie M. Siadatpour-Stephanie De Meautis-Bruno Dequier-Martavious Gayles",N/A,"5.9","N/A","Science Fiction-Family-Comedy-Animation-Adventure-Action-Crime","ch/6"
2021-00-23 4:28:16,"6.9","France","DuckTales the Movie: Treasure of the Lost Lamp","Scrooge McDuck s First Full-Length Animated Feature Film","Carl Barks-Alan Burnett","1990",1:14:51,"N/A","Scrooge McDuck, his dimwitted pilot Launch Pad, and his newphews Huey, Dewey and Louie, with Webby, arrive in Egypt where Scrooge finds the lost treasure of Collie Baba, unbeknownst to Scrooge, a magic lamp was included inside the treasure, so while the nephews have fun with the genie, they all have no idea that they re being stalked by a power hungry sorceror named Murlock and his dimwitted thief counterpart, Dijon.","Bob Hathcock","Walt Disney Animation","N/A","1990-08-03","Alan Young-Terence McGovern-Russi Taylor-Richard Libertini-Christopher Lloyd-June Foray-Chuck McCann-Joan Gerber-Rip Taylor-Charlie Adler-Sherry Lynn-Mickie McGowan-Jack Angel-Frank Welker",N/A,"8.8","N/A","Adventure-Animation-Family-Comedy-Fantasy","G"
2021-00-23 4:28:19,"7","United States of America","Dumbo","The One...The Only...The FABULOUS...","Helen Aberson-Harold Pearl-Joe Grant-Dick Huemer-Vernon Stallings","1941",1:04:57,"N/A","The stork delivers a baby elephant to Mrs. Jumbo, veteran of the circus, but the newborn is ridiculed because of his truly enormous ears and dubbed  Dumbo . After being separated from his mother, Dumbo is relegated to the circus  clown acts; it is up to his only friend, a mouse, to assist Dumbo to achieve his full potential.","Ben Sharpsteen","Walt Disney Productions","N/A","1941-10-31","Sterling Holloway-Herman Bing-John McLeish-Edward Brophy-James Baskett-Billy Bletcher-Jim Carmichael-Cliff Edwards-Verna Felton-Noreen Gammill-Eddie Holden-Malcolm Hutton-Harold Manley-Margaret Wright",N/A,"9.8","N/A","Animation-Family-Drama-Musical-Adventure","G"
2021-00-23 4:28:15,"4.8","United Kingdom-United States of America","Dumbo","Soar to new heights.","Ehren Kruger-Helen Aberson-Harold Pearl","2019",1:52:57,"N/A","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.","Tim Burton","Tim Burton Productions","N/A","2019-03-28","Colin Farrell-Michael Keaton-Danny DeVito-Eva Green-Alan Arkin-Nico Parker-Finley Hobbins-Roshan Seth-Deobia Oparei-Joseph Gatt-Miguel Muñoz Segura-Sharon Rooney-Zenaida Alcalde-Michael Buffer-Phil Zimmerman-Ragevan Vasan-Frank Bourke-Edd Osmond-Zelda Rosset Colon-Benjamin French-Jana Posna-Jo Osmond-Jewels Good-Lars Eidinger-Tom Seekings-Douglas Reith-Sandy Martin-Heather Rome-Scott Haney-Erick Hayden-Greg Canestrari-Chris Rogers-Max Gill-Peter Brookes-Simon Connolly-Nick Bartlett-Harry Taylor-Vincent Andriano-Liam Bewley-Ben Crowe-Josef Davies-Clive Brunt-Richard Leeming-Angela Ashton-Alice Bonifacio-Philip Rosch-Joseph Macnab-Rob Heanley-Amerjit Deu-Lucy DeVito-Richard James-Clarke-Matthew Castle-Bret Jones-Zee Asha-Carol Been-Jessica Barker-Wren-Arabella Neale-Rosie Akerman-Tim Southgate-Anatoli Akerman-Kamil Lemieszewski-Lampros Kalfuntzos-Zoë Scott-Suan-Li Ong-Bern Collaço-Paul Riddell-Will Rowlands",N/A,"4.6","N/A","Family-Adventure-Fantasy","ch/6"
2021-00-23 4:28:12,"7.2","United States of America","E.T. the Extra-Terrestrial","He is afraid. He is alone. He is three million light years from home.","Melissa Mathison","1982",1:54:29,"N/A","A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.","Steven Spielberg","Universal Pictures","N/A","1982-06-11","Henry Thomas-Drew Barrymore-Robert MacNaughton-Peter Coyote-Dee Wallace-Erika Eleniak-K. C. Martel-C. Thomas Howell-Sean Frye-David M. O Dell-Richard Swingler-Frank Toth-Robert Barton-Michael Darrell-David Berkson-David Carlberg-Milt Kogan-Alexander Lampone-Rhoda Makoff-Robert Murphy-Richard Pesavento-Tom Sherry-Susan Cameron-Will Fowler Jr.-Barbara Hartnett-Diane Lampone-Mary Stein-Mitch Suskin-Ted Grossman-James Kahn-Anne Lockhart-Melissa Mathison-Chuck Riley-Pat Welsh-Debra Winger",N/A,"9.8","N/A","Fantasy-Adventure-Science Fiction-Family","ch/7"
2021-00-23 4:28:20,"9.1","United States of America","Edward Scissorhands","His scars run deep.","Tim Burton-Caroline Thompson","1990",1:45:03,"N/A","In a castle high on top of a hill lives an inventor s greatest creation - Edward, a near-complete person. The creator died before he could finish Edward s hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse.","Tim Burton","20th Century Fox","N/A","1990-12-14","Johnny Depp-Winona Ryder-Dianne Wiest-Alan Arkin-Anthony Michael Hall-Vincent Price-Kathy Baker-Robert Oliveri-Conchata Ferrell-Caroline Aaron-Dick Anthony Williams-O-Lan Jones-Susan Blommaert-Linda Perri-John Davidson-Biff Yeager-Donna Pieroni-Alan Fudge-Brett Rice-Marc Macaulay-Stuart Lancaster-Steven Brill-Gina Gallagher-Aaron Lustig-Peter Palmer-Kathy Lockwood-Nick Carter-Tim Rerucha-Linda Jean Hess-Andrew B. Clark-Bea Albano-Marti Greenberg-Kelli Crofton-Gary Clark-Joe Sheldon-Doyle Anderson-Carol D. Klasek-Harvey Bellman-Cecil Hawkins-Jack W. Kapfhamer-James Spicer-Jackie Carson-Carol Crumrine-Jalaine Gallion-Dianne L. Green-Ellin Dennis-Rex Fox-Miriam Goodspeed-Russell E. Green-Laura Nader-Mary Jane Heath-Phil Olson-Roland Douville-Tammy Boalo-Suzanne Chrosniak",N/A,"9","N/A","Fantasy-Drama-Romance","PG-13"
2021-11-24 0:56:23,"9.3","United States of America","Encanto","There s a little magic in all of us ...almost all of us.","Jared Bush-Charise Castro Smith","2021",1:42:25,"1","A young Colombian girl has to face the frustration of being the only member of her family without magical powers.","Byron Howard-Jared Bush","Walt Disney Animation Studios","N/A","2021-11-24","Stephanie Beatriz-María Cecilia Botero-John Leguizamo-Mauro Castillo-Jessica Darrow-Angie Cepeda-Carolina Gaitán-Diane Guerrero-Wilmer Valderrama-Rhenzy Feliz-Ravi Cabot-Conyers-Adassa-Maluma-Rose Portillo-Juan Castano-Sarah-Nicole Robles-Hector Elias-Alan Tudyk-Olga Merediz",N/A,"9.1","N/A","Animation-Comedy-Family-Fantasy-Musical","ch/0"
