Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-21 21:13:16,"9","Japan","The Girl Who Leapt Through Time","There is a future that we can t wait for.","Mamoru Hosoda","2006",1:38:24,"N/A","A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.","Mamoru Hosoda","Madhouse","Girl Who Leapt Through Time","2006-07-15","Riisa Naka-Takuya Ishida-Mitsutaka Itakura-Ayami Kakiuchi-Mitsuki Tanimura-Yuki Sekido-Utawaka Katsura-Midori Ando-Fumihiko Tachiki-Keiko Yamamoto-Shiori Yokohari-Sonoka Matsuoka-Takayuki Handa-Maho Kurashima-Taeko Hase-Keiko Aizawa-Kiyomi Tanigawa-Atsuko Yuya-Hiroshi Kudo-Arashi Matsutani-Fumiya Togawa-Yumi Kawaguchi-Atsushi Sato-Yuji Tanaka-Tsubasa Ueda-Shouya Sugiyama-Teppei Takayama-Fuijo Chiba-Haruki Watanabe-Nagisa Adaniya-Mami Tokuyama-Sayaka Yoshida-Yōji Matsuda-Tadashi Nakamura-Sachie Hara",N/A,"8.3","時をかける少女","Comedy-Mystery-Romance-Science Fiction-Drama-Animation-Fantasy-Adventure-Family","Not Rated"
2021-00-21 21:14:24,"9.5","Japan","Grave of the Fireflies","A young boy and his little sister struggle to survive in Japan during World War II.","Isao Takahata-Akiyuki Nosaka","1988",1:29:34,"1","The story of Seita and Setsuko, two young Japanese siblings, living in the declining days of World War II. When an American firebombing separates the two children from their parents, the two siblings must rely completely on one another while they struggle to fight for their survival.","Isao Takahata","Studio Ghibli","N/A","1988-04-16","Tsutomu Tatsumi-Ayano Shiraishi-Yoshiko Shinohara-Akemi Yamaguchi",N/A,"10","火垂るの墓","Animation-Drama-War-Anime","Not Rated"
2021-00-21 21:13:55,"9.3","Japan","Howl s Moving Castle","The two lived there.","Hayao Miyazaki-Diana Wynne Jones","2004",1:59:09,"1","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Hayao Miyazaki","Studio Ghibli","N/A","2004-11-20","Chieko Baisho-Takuya Kimura-Akihiro Miwa-Tatsuya Gashūin-Ryunosuke Kamiki-Haruko Kato-Yayoi Kazuki-Mayuno Yasokawa-Yo Oizumi-Rio Kanno-Akio Otsuka-Daijirō Harada",N/A,"8.7","ハウルの動く城","Family-Animation-Adventure-Fantasy","PG"
2021-00-21 21:13:54,"9.2","Japan","In This Corner of the World","Torn apart by war. Brought together by love.","Chie Uratani","2016",2:10:42,"N/A","Set in Hiroshima during World War II, an eighteen-year-old girl gets married and now has to prepare food for her family despite the rationing and lack of supplies. As she struggles with the daily loss of life s amenities she still has to maintain the will to live.","Sunao Katabuchi","GENCO","N/A","2016-11-12","Non-Daisuke Ono-Mayumi Shintani-Megumi Han-Minori Omi-Natsuki Inaba-Shigeru Ushiyama-Yoshimasa Hosoya-Hiromi Seta-Hisako Kyoda-Kikuyo Semi-Kotone Tachibana-Masumi Tsuda-Nanase Iwai-Nozomu Sasaki-Tomoko Shiota-Tsuyoshi Koyama",N/A,"9.8","この世界の片隅に","Anime-Drama-War-Family-Animation-History-Romance","PG-13"
2021-00-21 21:13:52,"8.8","Japan","Kiki s Delivery Service","I was feeling blue, but I m better now.","Hayao Miyazaki-Eiko Kadono","1989",1:43:03,"1","This is the story of a young witch, named Kiki who is now 13 years old. But she is still a little green and plenty headstrong, but also resourceful, imaginative, and determined. With her trusty wisp of a talking cat named Jiji by her side she s ready to take on the world, or at least the quaintly European seaside village she s chosen as her new home.","Hayao Miyazaki","Studio Ghibli","N/A","1989-07-29","Minami Takayama-Rei Sakuma-Kappei Yamaguchi-Keiko Toda-Mieko Nobusawa-Kôichi Miura-Haruko Kato-Hiroko Seki-Yuriko Fuchizaki-Koichi Yamadera-Kikuko Inoue-Yuuko Kobayashi-Mika Doi-Takaya Hashi-Chika Sakamoto-Toshiko Asai-Hiroko Maruyama-Shinpachi Tsuji-Yûko Maruyama-Masa Saitō-Yûko Tsuga-Tomomichi Nishimura-Akio Otsuka-Yoshiko Kamei",N/A,"9.8","魔女の宅急便","Animation-Adventure-Drama-Fantasy-Family","G"
2021-00-21 21:13:51,"6.7","Japan","Kite","Dangerous things come in small packages...","Yasuomi Umetsu","1998",0:48:35,"1","Sawa may seem innocent and naive, but don’t be fooled. She is a cold-blooded killer, and if you’re on the wrong side of the law, you may be her next target. Not content to just watch as the imperfect justice system lets more and more criminals go loose every day, a detective decides to train the young Sawa to be his instrument of justice.","Yasuomi Umetsu","ARMS","N/A","1998-02-25","Kotomi Naruse-Shingo Oyamada-Gorou Shibusawa-Tatsuo Matoba-Hiroshi Aida-Nobuyuki Takano-Douglas Cartwright-William Rain-Gary Wynn-Jones-Michiko Yamaguchi-Naho Hirokawa-Itsumi Sawada-Jackie Sylvester-Richard O Sallivan-Tomoko Furakawa-Takayuki Hiramatsu",N/A,"N/A","カイト","Animation-Crime-Action-Thriller","N/A"
2021-00-21 21:13:13,"5.3","Japan","The Life of Guskou Budori","N/A","Gisaburō Sugii","2012",1:49:05,"N/A","Budori Gusukô lives happily with his little sister, father, and mother. When the cold hits the Ihatov Forest they are invaded and, with his family killed, he is left alone. He begins working in a geological laboratory and attempts to move forward, but, with another spell of cold coming, he knows he has to make sure what happened before is not repeated.","Gisaburō Sugii","Tezuka Productions","Life of Guskou Budori","2012-07-07","Shun Oguri-Shiori Kutsuna",N/A,"N/A","グスコーブドリの伝記","Animation-Family-Fantasy-Drama-Adventure","TV-14"
2021-00-21 21:13:18,"8.8","Japan","Lupin the Third: The Castle of Cagliostro","A Miyazaki classic returns the way it was meant to be seen!","Hayao Miyazaki-Maurice Leblanc-Haruya Yamazaki-Kazuhiko Kato","1979",1:40:30,"N/A","A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count s clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.","Hayao Miyazaki","TMS Entertainment","N/A","1979-12-15","Yasuo Yamada-Eiko Masuyama-Kiyoshi Kobayashi-Gorō Naya-Sumi Shimamoto-Taro Ishida-Akio Nojima-Eken Mine-Ichirō Nagai-Junkichi Yarita-Kinpei Azusa-Kōhei Miyauchi-Mikio Terashima-Minoru Midorikawa-Osamu Saka-Shigeharu Matsuda-Shozo Hirabayashi-Tadamichi Tsuneizumi-Yoko Yamaoka-Makio Inoue",N/A,"9.5","ルパン三世 カリオストロの城","Comedy-Crime-Family-Animation-Action-Adventure-Fantasy","PG"
2021-00-21 21:13:47,"8.7","Japan","Maquia: When the Promised Flower Blooms","In a world where love is forbidden... they will find love.","Mari Okada-Iorph","2018",1:55:49,"N/A","Escaping war, a young girl finds a lone surviving infant and decides to raise him as her son.","Mari Okada","P.A.Works","N/A","2018-02-24","Manaka Iwami-Miyu Irino-Tomokazu Sugita-Yoshimasa Hosoya-Miyuki Sawashiro-Rina Sato-Ai Kayano-Hiroaki Hirata-Yoko Hikasa-Misaki Kuno-Yuki Kaji",N/A,"10","さよならの朝に約束の花をかざろう","Animation-Drama-Fantasy-Family-Adventure-Romance-Anime","NR"
2021-00-21 21:13:45,"6.6","Japan","Modest Heroes","N/A","Hiromasa Yonebayashi-Yoshiyuki Momose-Akihiko Yamashita","2018",0:53:29,"N/A","An anthology of three original shorts written and directed by Hiromasa Yonebayashi, Yoshiyuki Momose and Akihiko Yamashita.","Hiromasa Yonebayashi-Yoshiyuki Momose-Akihiko Yamashita","Toho Co.","N/A","2018-08-24","Min Tanaka-Kentaro Sakaguchi-Joe Odagiri-Fumino Kimura-Rio Suzuki-Machiko Ono-Souta Shinohara",N/A,"N/A","ちいさな英雄－カニとタマゴと透明人間－","Family-Fantasy-Drama-Animation-Adventure","PG"
