Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-19 22:17:14,"8.8","United States of America","Batman: Mask of the Phantasm","The Dark Knight fights to save Gotham city from its deadliest enemy.","Alan Burnett-Michael Reaves-Paul Dini-Martin Pasko","1993",1:16:28,"1","Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.","Bruce Timm-Eric Radomski","DC Comics","N/A","1993-12-25","Kevin Conroy-Mark Hamill-Dana Delany-Hart Bochner-Abe Vigoda-Stacy Keach-Efrem Zimbalist Jr.-Robert Costanzo-Bob Hastings-Dick Miller-John P. Ryan-Arleen Sorkin-Jeff Bennett-Ed Gilbert-Marilu Henner-Pat Musick-Thom Pinto-Neil Ross-Vernee Watson-Johnson-Jane Downs-Peter Renaday-Charles Howerton-Judi M. Durand",N/A,"8.4","N/A","Animation-Action-Adventure-Family-Thriller-Romance-Mystery-Drama-Crime","PG"
2021-00-19 22:18:55,"9.3","United States of America","Batman: The Dark Knight Returns, Part 1","Old heroes never die. They just get darker.","Frank Miller-Bob Goodman","2012",1:16:23,"1","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?","Jay Oliva","DC Comics","N/A","2012-09-25","Peter Weller-Ariel Winter-David Selby-Wade Williams-Michael McKean-Rob Paulsen-Maurice LaMarche-Gary Anthony Williams-Gary Anthony Sturgis-Paget Brewster-Carlos Alazraqui-Dee Bradley Baker-Maria Canals-Barrera-Cathy Cavadini-Townsend Coleman-Grey DeLisle-Greg Eagles-Michael Emerson-Michael Jackson (II)-Sam McMurray-Andrea Romano-Tara Strong-James Patrick Stuart-James Arnold Taylor-Bruce Timm-Gwendoline Yeo-Danny Jacobs-Yuri Lowenthal-Richard Doyle-Frank Welker-Jim Wise",N/A,"10","N/A","Animation-Action-Crime-Drama-Science Fiction-Thriller-Mystery","PG-13"
2021-00-19 22:20:28,"9.4","United States of America","Batman: The Dark Knight Returns, Part 2","Justice Returns... Vengeance Returns... Redemption Comes to Gotham.","Frank Miller-Bob Goodman","2013",1:16:49,"1","The Batman has returned after a 10-year absence. The Gotham authorities want to arrest him. An old foe wants a reunion. The Feds want the Man of Tomorrow to put a stop to him.","Jay Oliva","DC Comics","N/A","2013-01-29","Peter Weller-Ariel Winter-David Selby-Michael Emerson-Mark Valley-Grey DeLisle-Frank Welker-Dee Bradley Baker-Michael McKean-James Patrick Stuart-Maria Canals-Barrera-Gwendoline Yeo-Danny Jacobs-Townsend Coleman-Michael Jackson (II)-Bruce Timm-Tress MacNeille-Paget Brewster-Gary Anthony Williams-Conan O Brien-Robin Atkin Downes-Yuri Lowenthal-Greg Eagles-Lex Lang-Jason Charles Miller-Andrea Romano-Andy Richter",N/A,"N/A","N/A","Action-Horror-Thriller-Science Fiction-Drama-Crime-Animation-Mystery","PG-13"
2021-00-19 22:21:21,"5","United States of America","Batman: The Killing Joke","The madness begins","Bob Kane-Alan Moore-Brian Azzarello-Bill Finger","2016",1:17:39,"1","As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.","Sam Liu","Warner Bros. Animation","N/A","2016-07-26","Kevin Conroy-Mark Hamill-Tara Strong-Ray Wise-Robin Atkin Downes-Brian George-John DiMaggio-Rick D. Wasserman-Maury Sterling-Fred Tatasciore-Paul Dini-JP Karliak",N/A,"3.9","N/A","Animation-Action-Crime-Drama-Thriller","R"
2021-00-19 22:22:38,"9.2","United States of America","Batman: Under the Red Hood","Dare to Look Beneath the Hood.","Bob Kane-Jay Oliva-Judd Winick","2010",1:16:51,"1","There s a mystery afoot in Gotham City, and Batman must go toe-to-toe with a mysterious vigilante, who goes by the name of Red Hood. Subsequently, old wounds reopen and old, once buried memories come into the light.","Brandon Vietti","DC Comics","N/A","2010-07-27","Bruce Greenwood-Jensen Ackles-Neil Patrick Harris-Jason Isaacs-John DiMaggio-Wade Williams-Carlos Alazraqui-Robert Clotworthy-Gary Cole-Brian George-Kelly Hu-Phil LaMarr-Alexander Martella-Vincent Martella-Jim Piddock-Kevin Michael Richardson-Andrea Romano-Dwight Schultz-Fred Tatasciore-Keri Tombazian-Bruce Timm-Michael Villani",N/A,"10","N/A","Drama-Action-Animation-Crime-Science Fiction-Thriller-Mystery","PG-13"
2021-00-19 22:23:40,"7.9","United States of America","Batman: Year One","A merciless crime turns a man into an outlaw.","Frank Miller-Bob Kane-Tab Murphy-Bill Finger-David Mazzucchelli","2011",1:04:10,"N/A","A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.","Lauren Montgomery-Sam Liu","DC Comics","N/A","2011-10-18","Ben McKenzie-Bryan Cranston-Eliza Dushku-Jon Polito-Alex Rocco-Katee Sackhoff-Sara Ballantine-Jeff Bennett-Steve Blum-Roark Critchlow-Grey DeLisle-Robin Atkin Downes-Keith Ferguson-Danny Jacobs-Nick Jameson-Liliana Mumy-Pat Musick-Andrea Romano-Stephen Root-James Patrick Stuart-Fred Tatasciore-Bruce Timm-Bruce Wingert-Michael Gough",N/A,"8.8","N/A","Action-Adventure-Animation-Science Fiction-Crime-Drama-Thriller","PG-13"
2021-00-19 22:23:43,"6.9","Japan","Cat Shit One","CatShitOne","Kazuya Sasahara-Hiroshi Sekisakai","2010",0:22:43,"1","Botasky and Packy are private contractors, working in the Middle East, with support from a distant helicopter-mobile base. Their jobs are as  sniper  and  spotter , the spotter is the team lead (as is accurate military protocol). Their assignment is to extract two captives, an ally, and a local. The characters are 1. Rabbits (contractors), and 2. Camels (locals). Rabbits seem to have been chosen due to the Japanese word for Rabbit is Usagi, which can be interpreted to be U.S.A. GI. The Team must interpret the situation, and decide whether to extract the victims themselves or wait for further support. Things seem to be moving rapidly in a negative direction, so the Team elects to split up, and do the extraction themselves. They split up, with Packy going into a village to locate and pull the victims out, and Botasky providing over-watch and sniping support. The fighting is rapid, and smooth, with Packy showing a great deal of speed and agility. The sniping is rapid and smooth. Packy s weapon transfers are perfect. His shooting is controlled and precise, no wasted spray and pray mag dumps. The enemy gets ground support, which complicates things, Botasky is located and shut down as a sniper, and the rescue seems to be compromised, until the Team gets it s own Air Support.","Kazuya Sasahara","International Digital Artist (IDA)","N/A","2010-07-17","Satoshi Hino-Hiroshi Tsuchida-Masashi Nitta-Sawaki Akimoto-Kenta Sakai-Yuki Hirako",N/A,"N/A","N/A","Animation-Short-Action-War","TV-14"
2021-00-19 22:23:45,"6.9","United States of America","Catwoman","N/A","Paul Dini","2011",0:15:51,"1","Catwoman attempts to track down a mysterious cargo shipment that is linked to a Gotham City crime boss called Rough Cut.","Lauren Montgomery","DC Comics","N/A","2011-10-18","Eliza Dushku-John DiMaggio-Liliana Mumy-Kevin Michael Richardson-Tara Strong-Cree Summer",N/A,"N/A","N/A","Action-Adventure-Animation-Science Fiction-Crime-Fantasy-Short","PG-13"
2021-00-19 22:55:55,"8.5","United States of America","The Death of Superman","Witness the day Metropolis stood still","Peter Tomasi","2018",1:21:56,"1","When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.","Sam Liu-Jake Castorena","DC Entertainment","Death of Superman","2018-08-07","Jerry O Connell-Rebecca Romijn-Rainn Wilson-Rosario Dawson-Nathan Fillion-Christopher Gorham-Matt Lanter-Shemar Moore-Nyambi Nyambi-Jason O Mara-Jonathan Adams-Rocky Carroll-Trevor Devall-Paul Eiding-Jennifer Hale-Patrick Fabian-Charles Halford-Erica Luttrell-Max Mittelman-Toks Olagundoye-Rick Pasqualone-Amanda Troop-Cress Williams",N/A,"9.2","N/A","Action-Animation-Science Fiction-Drama-Family","PG-13"
2021-00-19 22:23:59,"8.2","United States of America","Family Guy Presents: Blue Harvest","If you think you know Family Guy, you don’t know Sith.","Seth MacFarlane-Alec Sulkin","2007",0:48:36,"N/A","With the Griffins stuck at home during a blackout, Peter tells the story of  Star Wars Episode IV: A New Hope .","Peter Shin-Dominic Polcino-James Purdum","Fuzzy Door Productions","N/A","2007-09-23","Seth MacFarlane-Alex Borstein-Seth Green-Mila Kunis-Mike Henry-Lori Alan-Rush Limbaugh-Tom Baker-Mark Hentemann-Phil LaMarr-John Viener-Leslie Nielsen-Patrick Warburton-John G. Brennan-Steve Callaghan-Chevy Chase-Beverly D Angelo-Mick Hucknall-Helen Reddy-Danny Smith-Alec Sulkin-Don Thai Theerathada-Adam West-Judd Nelson",N/A,"N/A","N/A","Comedy-TV Movie-Animation-Fantasy-Science Fiction","N/A"
